REF_DATE,e_comm,in_store
2017-01,100,100
2017-02,99.1,99.6
2017-03,100.7,99.5
2017-04,103.2,101.8
2017-05,100.7,100.6
2017-06,102,101.3
2017-07,109,101.8
2017-08,107.8,102
2017-09,107,101.9
2017-10,109.4,103
2017-11,114.5,102.4
2017-12,111.7,104.1
2018-01,116.2,102.7
2018-02,114.9,102.5
2018-03,114.9,102.9
2018-04,113.8,101.6
2018-05,117.2,105.4
2018-06,118.1,105.3
2018-07,118.9,103.1
2018-08,126.3,105.1
2018-09,122.3,105.6
2018-10,131.4,104.5
2018-11,139.8,104.1
2018-12,119.4,105.8
2019-01,132.2,105.9
2019-02,134.9,105.4
2019-03,135.3,106.6
2019-04,137.3,105.4
2019-05,144.2,107.4
2019-06,148.3,106.2
2019-07,156.7,106.8
2019-08,155.9,107.9
2019-09,157.1,106.1
2019-10,152.5,104.9
2019-11,153.5,106.9
2019-12,166.6,107.6
2020-01,158.8,108.2
2020-02,171.8,116.4
2020-03,204.4,95
2020-04,315.4,69.8
2020-05,325.1,88.2
2020-06,277,109.8
2020-07,270.1,112.3
2020-08,275.9,110.6
2020-09,269.9,115.1
2020-10,269,116.7
2020-11,270.6,114.9
2020-12,291.1,110.1
2021-01,348.6,110.4
2021-02,338.9,115.2
2021-03,335.6,121.2
2021-04,331,114.1
2021-05,329.8,110
2021-06,301.8,116.1
2021-07,257.9,118.3
2021-08,265.4,118.1
2021-09,273.3,117.5
2021-10,274.9,119.9
2021-11,269.6,120
2021-12,259.1,118.7
2022-01,295.7,122.4
2022-02,271,121.6
2022-03,264.2,123
2022-04,275,122.7
2022-05,294.8,124.1
2022-06,287.6,124.9
2022-07,288.3,123.7
